"city_ID","most_recent_observation","most_recent_observation_type","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","greater_metro","tree_ID","planted_date","retired_date","common_name","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","diameter_breast_height_binned_CM","percent_population"
27678,2015,"inventory_date","Magnolia virginiana","Atlanta","Georgia",-84.364053,33.817693,"1801 Cedar Chase Ln","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24156,2013,"inventory_date","Quercus shumardii","Atlanta","Georgia",-84.52669,33.708855,"1801 Cove Trl","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34811,2017,"inventory_date","Lagerstroemia indica","Atlanta","Georgia",-84.528677,33.710047,"1801 Niskey Lake Trl","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,2002,"inventory_date","Quercus alba","Atlanta","Georgia",-84.418885,33.705996,"1804 Melrose Dr","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13489,2008,"inventory_date","Quercus lyrata","Atlanta","Georgia",-84.350132,33.803843,"1805 Lenox Rd","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13490,2008,"inventory_date","Quercus nuttallii","Atlanta","Georgia",-84.350063,33.803999,"1805 Lenox Rd","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13493,2008,"inventory_date",NA,"Atlanta","Georgia",-84.349872,33.804252,"1805 Lenox Rd","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8156,2005,"inventory_date","Koelreuteria bipinnata","Atlanta","Georgia",-84.437812,33.804886,"1806 Chattahoochee Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23303,2013,"inventory_date","Juniperus virginiana","Atlanta","Georgia",-84.328335,33.748829,"1807 Dixie St","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23304,2013,"inventory_date","Juniperus virginiana","Atlanta","Georgia",-84.328335,33.748758,"1807 Dixie St","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23305,2013,"inventory_date","Juniperus virginiana","Atlanta","Georgia",-84.349228,33.750152,"1807 Dixie St","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16560,2009,"inventory_date","Quercus rubra","Decatur","Georgia",-84.293587,33.834587,"1808 Angelique Dr","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16561,2009,"inventory_date","Quercus alba","Decatur","Georgia",-84.293551,33.834542,"1808 Angelique Dr","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
